210.89,-48.42,-4926.05
210.89,-48.4125,-4899.88
210.89,-48.405,-4873.45
210.89,-48.3975,-4846.51
210.89,-48.39,-4819.34
210.89,-48.3825,-4791.99
210.89,-48.375,-4764.45
210.89,-48.3675,-4736.72
210.89,-48.36,-4709.35
210.89,-48.3525,-4681.73
210.89,-48.345,-4654.65
210.89,-48.3375,-4627.64
210.89,-48.33,-4601.09
210.89,-48.3225,-4574.87
210.89,-48.315,-4549.1
210.89,-48.3075,-4524.12
210.89,-48.3,-4499.75
210.89,-48.2925,-4475.93
210.89,-48.285,-4453.04
210.89,-48.2775,-4431.04
210.89,-48.27,-4409.98
210.89,-48.2625,-4389.57
210.89,-48.255,-4370.13
210.89,-48.2475,-4351.39
210.89,-48.24,-4333.69
210.89,-48.2325,-4316.5
210.89,-48.225,-4300.49
210.89,-48.2175,-4285.07
210.89,-48.21,-4270.78
210.89,-48.2025,-4257.75
210.89,-48.195,-4246.32
210.89,-48.1875,-4236.93
210.89,-48.18,-4229.98
210.89,-48.1725,-4225.31
210.89,-48.165,-4222.69
210.89,-48.1575,-4222.01
210.89,-48.15,-4223.54
210.89,-48.1425,-4227.17
210.89,-48.135,-4232.53
210.89,-48.1275,-4239.94
210.89,-48.12,-4248.88
210.89,-48.1125,-4259.32
210.89,-48.105,-4270.72
210.89,-48.0975,-4282.59
210.89,-48.09,-4294.9
210.89,-48.0825,-4307.05
210.89,-48.075,-4319.07
210.89,-48.0675,-4331.18
210.89,-48.06,-4343.51
210.89,-48.0525,-4356.1
210.89,-48.045,-4368.85
210.89,-48.0375,-4382.2
210.89,-48.03,-4395.56
210.89,-48.0225,-4409.26
210.89,-48.015,-4423.32
210.89,-48.0075,-4437.57
210.89,-48,-4451.96
210.89,-47.9925,-4466.4
210.89,-47.985,-4481.12
210.89,-47.9775,-4495.52
210.903,-48.42,-4926.99
210.903,-48.4125,-4898.64
210.903,-48.405,-4869.82
210.903,-48.3975,-4840.59
210.903,-48.39,-4811.28
210.903,-48.3825,-4781.5
210.903,-48.375,-4751.92
210.903,-48.3675,-4722.2
210.903,-48.36,-4692.48
210.903,-48.3525,-4662.92
210.903,-48.345,-4633.45
210.903,-48.3375,-4604.6
210.903,-48.33,-4575.76
210.903,-48.3225,-4547.65
210.903,-48.315,-4520.07
210.903,-48.3075,-4493.32
210.903,-48.3,-4467.25
210.903,-48.2925,-4442.03
210.903,-48.285,-4417.85
210.903,-48.2775,-4394.55
210.903,-48.27,-4372.29
